row number,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,response
1,563.140858,108.6057369,0.47768256,19.29714568,15.4788228,727.92648,2749.94448,51.17905092,200.533509,34.8667443,540.8782984,6
2,506.8267722,120.673041,0.45114464,1.491566816,16.85471816,226.466016,2135.251008,50.82115546,220.5868599,37.96601046,583.9027085,6
3,651.6344214,112.6281716,0.5307584,6.432381894,17.198692,485.28432,1569.085968,50.87739618,217.9130798,34.09192776,620.7807743,6
4,579.2305968,92.5159981,0.42460672,7.92394871,19.95048272,760.278768,3008.762784,50.90296014,213.2339646,30.9926616,608.4880857,6
5,579.2305968,92.5159981,0.42460672,7.92394871,19.95048272,760.278768,3008.762784,50.90296014,213.2339646,30.9926616,608.4880857,6
6,651.6344214,112.6281716,0.5307584,6.432381894,17.198692,485.28432,1569.085968,50.87739618,217.9130798,34.09192776,620.7807743,6
7,498.7819028,128.7179104,0.21230336,6.52560482,15.4788228,485.28432,2199.955584,50.86717059,212.5655195,36.41637738,590.0490528,6
8,563.140858,108.6057369,0.47768256,19.29714568,15.4788228,727.92648,2749.94448,51.17905092,200.533509,34.8667443,540.8782984,6
9,506.8267722,120.673041,0.45114464,1.491566816,16.85471816,226.466016,2135.251008,50.82115546,220.5868599,37.96601046,583.9027085,6
10,651.6344214,88.4935634,0.57056528,1.39834389,15.13484896,452.932032,2086.722576,50.81092988,215.2392997,34.8667443,676.097873,6
11,651.6344214,108.6057369,0.54402736,1.351732427,11.35113672,177.937584,1019.097072,50.65754611,199.865064,43.38972624,737.561316,5
12,691.8587684,92.5159981,0.5307584,3.915362892,12.0390844,274.994448,1763.199696,50.85694501,209.8917394,41.06527662,596.1953971,5
13,635.5446826,72.4038246,0.49095152,1.118675112,13.7589536,258.818304,1213.2108,50.71889962,212.5655195,48.81344202,663.8051844,5
14,530.9613804,64.3589552,0.5307584,1.39834389,15.13484896,776.454912,2313.188592,50.67799728,236.6295406,40.29046008,762.1466932,7
15,667.7241602,168.9422574,0.82267552,17.94541326,13.7589536,663.221904,2782.296768,51.13814858,199.1966189,51.91270818,596.1953971,5
16,530.9613804,68.3813899,0.50422048,1.39834389,11.00716288,452.932032,1811.728128,50.68822286,217.2446348,42.6149097,700.6832502,7
17,506.8267722,193.0768656,0.05307584,1.025452186,15.82279664,485.28432,1601.438256,50.75980195,216.5761897,27.89339544,590.0490528,6
18,498.7819028,265.4806902,0.63691008,1.118675112,9.97524136,469.108176,1213.2108,50.57574143,222.592195,30.21784506,786.7320704,8
19,595.3203356,136.7627798,0.55729632,1.025452186,11.35113672,274.994448,2766.120624,50.70356124,208.5548494,41.06527662,694.5369059,6
20,522.916511,124.6954757,0.18576544,6.99171945,15.13484896,549.988896,2151.427152,50.89784735,215.2392997,38.740827,583.9027085,5
21,498.7819028,265.4806902,0.63691008,1.118675112,9.97524136,469.108176,1213.2108,50.57574143,222.592195,30.21784506,786.7320704,8
22,514.8716416,124.6954757,0.50422048,2.703464854,13.07100592,307.346736,1649.966688,50.67799728,211.8970745,27.1185789,676.097873,7
23,547.0511192,104.5833022,0.55729632,1.584789742,16.85471816,663.221904,1973.489568,50.77002754,231.9504254,37.19119392,645.3661515,8
24,611.4100744,269.5031249,0.18576544,1.39834389,25.45406416,404.4036,2717.592192,50.80581709,203.8757342,39.51564354,571.6100199,5
25,530.9613804,108.6057369,0.54402736,1.211898038,17.88663968,258.818304,2297.012448,50.87739618,228.6082003,36.41637738,614.63443,6
26,563.140858,100.5608675,0.42460672,8.39006334,15.82279664,905.864064,3963.15528,50.89784735,217.2446348,38.740827,639.2198072,6
27,555.0959886,96.5384328,0.4644136,0.93222926,17.88663968,566.16504,2361.717024,50.77002754,230.6135354,34.09192776,614.63443,6
28,563.140858,112.6281716,0.51748944,8.110394562,17.54266584,517.636608,2280.836304,50.9285241,225.9344201,41.06527662,645.3661515,6
29,595.3203356,108.6057369,0.63691008,1.025452186,16.16677048,274.994448,2135.251008,50.68822286,213.2339646,37.96601046,712.9759388,6
30,579.2305968,128.7179104,0.47768256,1.86445852,11.35113672,598.517328,1844.080416,50.64732052,207.2179593,55.01197434,756.0003489,7
31,683.813899,96.5384328,0.51748944,9.695184304,15.13484896,323.52288,2297.012448,50.9949904,213.9024096,41.06527662,614.63443,6
32,667.7241602,56.3140858,0.45114464,1.025452186,14.44690128,113.233008,760.278768,50.79047871,231.9504254,30.9926616,626.9271186,6
33,595.3203356,100.5608675,0.47768256,1.911069983,17.198692,501.460464,1617.6144,50.71889962,213.2339646,34.09192776,663.8051844,6
34,498.7819028,48.2692164,0.45114464,1.39834389,15.4788228,695.574192,1892.608848,50.81604267,228.6082003,39.51564354,553.170987,6
35,466.6024252,108.6057369,0.2653792,13.93682744,15.13484896,355.875168,2895.529776,50.93363689,225.2659751,28.66821198,626.9271186,5
36,587.2754662,112.6281716,0.57056528,1.584789742,27.5179072,339.699024,1989.665712,50.64220773,213.2339646,32.54229468,786.7320704,5
37,522.916511,156.8749533,0.30518608,5.034038004,17.54266584,404.4036,2410.245456,50.79047871,216.5761897,27.1185789,614.63443,5
38,563.140858,132.7403451,0.42460672,1.118675112,18.23061352,614.693472,2232.307872,50.64732052,209.2232944,21.69486312,688.3905616,6
39,587.2754662,96.5384328,0.51748944,16.73351522,19.60650888,727.92648,2410.245456,51.12281021,214.5708546,27.89339544,528.5856098,5
40,587.2754662,96.5384328,0.51748944,16.73351522,19.60650888,727.92648,2410.245456,51.12281021,214.5708546,27.89339544,528.5856098,5
41,539.0062498,92.5159981,0.51748944,2.33057315,59.16350048,1019.097072,2555.830752,50.80581709,207.8864043,27.89339544,577.7563642,6
42,539.0062498,96.5384328,0.51748944,2.703464854,59.50747432,1019.097072,2539.654608,50.80581709,207.2179593,26.34376236,577.7563642,6
43,563.140858,124.6954757,0.34499296,6.898496524,23.73419496,452.932032,2588.18304,50.89273455,209.2232944,35.64156084,602.3417414,6
44,530.9613804,96.5384328,0.35826192,1.305120964,19.60650888,533.812752,2458.773888,50.79047871,215.2392997,43.38972624,583.9027085,6
45,539.0062498,92.5159981,0.34499296,1.305120964,20.6384304,533.812752,2491.126176,50.79047871,216.5761897,43.38972624,583.9027085,6
46,595.3203356,72.4038246,0.41133776,1.305120964,19.95048272,614.693472,2701.416048,50.77514033,211.2286295,41.06527662,614.63443,7
47,498.7819028,181.0095615,0.34499296,4.101808744,21.67035192,1019.097072,3332.285664,50.82115546,218.5815248,40.29046008,602.3417414,4
48,498.7819028,185.0319962,0.331724,4.101808744,22.70227344,1002.920928,3348.461808,50.81604267,217.2446348,40.29046008,602.3417414,5
49,563.140858,124.6954757,0.34499296,6.898496524,23.73419496,452.932032,2588.18304,50.89273455,209.2232944,35.64156084,602.3417414,6
50,555.0959886,76.4262593,0.4644136,4.6611463,23.04624728,517.636608,2426.4216,50.87228339,224.5975301,37.19119392,602.3417414,5
51,579.2305968,76.4262593,0.41133776,1.491566816,21.32637808,501.460464,2798.472912,50.70356124,223.9290851,34.09192776,719.1222831,6
52,530.9613804,100.5608675,0.38479984,1.025452186,23.39022112,630.869616,2005.841856,50.68822286,223.26064,44.93935932,676.097873,7
